
[INFO] 进入任务目录: /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_moderate_noise_3/results.json/round 4 (score=0.1728)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_moderate_noise_4/results.json/round 2 (score=0.1816)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_moderate_noise_5/results.json/round 8 (score=0.2388)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_original_1/results.json/round 17 (score=0.4448)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_original_2/results.json/round 20 (score=0.2605)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_original_3/results.json/round 12 (score=0.1874)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_original_4/results.json/round 15 (score=0.2045)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_original_5/results.json/round 2 (score=0.2886)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_paraphrasing_1/results.json/round 21 (score=0.2115)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_paraphrasing_2/results.json/round 14 (score=0.2257)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_paraphrasing_3/results.json/round 15 (score=0.5786)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_paraphrasing_4/results.json/round 15 (score=0.2372)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_paraphrasing_5/results.json/round 17 (score=0.6925)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_requirements_1/results.json/round 12 (score=0.1026)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_requirements_2/results.json/round 18 (score=0.6908)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_requirements_3/results.json/round 16 (score=0.0829)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_requirements_4/results.json/round 1 (score=0.1198)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_requirements_5/results.json/round 4 (score=0.0935)

[INFO] 进入任务目录: /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_heavy_noise_1/results.json/round 3 (score=0.0741)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_heavy_noise_2/results.json/round 15 (score=0.1538)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_heavy_noise_3/results.json/round 5 (score=0.1154)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_heavy_noise_4/results.json/round 3 (score=0.0769)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_heavy_noise_5/results.json/round 4 (score=0.0385)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_light_noise_1/results.json/round 3 (score=0.1111)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_light_noise_2/results.json/round 12 (score=0.1538)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_light_noise_3/results.json/round 13 (score=0.0769)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_light_noise_4/results.json/round 9 (score=0.1154)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_light_noise_5/results.json/round 7 (score=0.1154)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_moderate_noise_1/results.json/round 3 (score=0.0741)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_moderate_noise_2/results.json/round 9 (score=0.1923)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_moderate_noise_3/results.json/round 4 (score=0.0769)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_moderate_noise_4/results.json/round 16 (score=0.1538)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_moderate_noise_5/results.json/round 6 (score=0.0385)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_original_1/results.json/round 5 (score=0.9259)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_original_2/results.json/round 13 (score=1.0000)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_original_3/results.json/round 20 (score=0.9615)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_original_4/results.json/round 7 (score=0.9231)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_original_5/results.json/round 5 (score=0.9231)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_paraphrasing_1/results.json/round 4 (score=0.8519)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_paraphrasing_2/results.json/round 7 (score=0.9231)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_paraphrasing_3/results.json/round 18 (score=0.8846)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_paraphrasing_4/results.json/round 4 (score=0.9231)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_paraphrasing_5/results.json/round 8 (score=0.9615)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_requirements_1/results.json/round 3 (score=0.7037)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_requirements_2/results.json/round 20 (score=0.9231)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_requirements_3/results.json/round 10 (score=0.8462)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_requirements_4/results.json/round 2 (score=0.8077)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HumanEval/humaneval_requirements_5/results.json/round 6 (score=0.7308)

[INFO] 进入任务目录: /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_heavy_noise_1/results.json/round 1 (score=0.3333)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_heavy_noise_2/results.json/round 1 (score=0.6250)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_heavy_noise_3/results.json/round 7 (score=0.7500)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_heavy_noise_4/results.json/round 10 (score=0.2500)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_heavy_noise_5/results.json/round 13 (score=0.3043)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_light_noise_1/results.json/round 11 (score=0.4167)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_light_noise_2/results.json/round 12 (score=0.7083)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_light_noise_3/results.json/round 15 (score=0.6667)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_light_noise_4/results.json/round 1 (score=0.2500)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_light_noise_5/results.json/round 7 (score=0.4783)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_moderate_noise_1/results.json/round 1 (score=0.4167)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_moderate_noise_2/results.json/round 17 (score=0.7083)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_moderate_noise_3/results.json/round 1 (score=0.7500)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_moderate_noise_4/results.json/round 4 (score=0.1250)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_moderate_noise_5/results.json/round 15 (score=0.4348)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_original_1/results.json/round 1 (score=0.5000)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_original_2/results.json/round 1 (score=0.8750)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_original_3/results.json/round 3 (score=0.7500)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_original_4/results.json/round 3 (score=0.1667)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_original_5/results.json/round 1 (score=0.3478)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_paraphrasing_1/results.json/round 1 (score=0.5000)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_paraphrasing_2/results.json/round 1 (score=0.7500)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_paraphrasing_3/results.json/round 1 (score=0.7500)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_paraphrasing_4/results.json/round 20 (score=0.2083)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_paraphrasing_5/results.json/round 1 (score=0.5217)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_requirements_1/results.json/round 4 (score=0.5833)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_requirements_2/results.json/round 2 (score=0.7917)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_requirements_3/results.json/round 1 (score=0.5833)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_requirements_4/results.json/round 1 (score=0.1250)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MATH/math_requirements_5/results.json/round 1 (score=0.3043)

[INFO] 进入任务目录: /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MBPP
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MBPP/mbpp_light_noise_1/results.json/round 6 (score=0.6812)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MBPP/mbpp_light_noise_2/results.json/round 2 (score=0.7059)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MBPP/mbpp_light_noise_3/results.json/round 12 (score=0.7353)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MBPP/mbpp_light_noise_4/results.json/round 8 (score=0.8088)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MBPP/mbpp_moderate_noise_1/results.json/round 7 (score=0.6957)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MBPP/mbpp_moderate_noise_2/results.json/round 14 (score=0.8382)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MBPP/mbpp_moderate_noise_3/results.json/round 17 (score=0.8382)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MBPP/mbpp_moderate_noise_4/results.json/round 8 (score=0.7353)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MBPP/mbpp_original_1/results.json/round 8 (score=0.7101)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MBPP/mbpp_original_2/results.json/round 14 (score=0.8235)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MBPP/mbpp_original_3/results.json/round 10 (score=0.8529)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MBPP/mbpp_original_4/results.json/round 1 (score=0.7059)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/MBPP/mbpp_original_5/results.json/round 5 (score=0.8676)
